pfam_number	Name	Description	Long_description	enzyme_annotation
PF00004	AAA	ATPase family associated with various cellular activities (AAA)	AAA family proteins often perform chaperone-like functions that assist in the assembly, operation, or disassembly of protein complexes [2].	m
PF00009	GTP_EFTU	Elongation factor Tu GTP binding domain	This domain contains a P-loop motif, also found in several other families such as Pfam:PF00071, Pfam:PF00025 and Pfam:PF00063. Elongation factor Tu consists of three structural domains, this plus two C-terminal beta barrel domains.	m
PF00016	RuBisCO_large	Ribulose bisphosphate carboxylase large chain, catalytic domain	The C-terminal domain of RuBisCO large chain is the catalytic domain adopting a TIM barrel fold.	y
PF00026	Asp	Eukaryotic aspartyl protease	Aspartyl (acid) proteases include pepsins, cathepsins, and renins.  Two-domain structure, probably arising from ancestral duplication.  This family does not include the retroviral nor retrotransposon proteases (Pfam:PF00077), which are much smaller and appear to be homologous to a single domain of the eukaryotic asp proteases.	m
PF00027	cNMP_binding	Cyclic nucleotide-binding domain		y
PF00043	GST_C	Glutathione S-transferase, C-terminal domain	GST conjugates reduced glutathione to a variety of targets including S-crystallin from squid, the eukaryotic elongation factor 1-gamma, the HSP26 family of stress-related proteins and auxin-regulated proteins in plants.  Stringent starvation proteins in E. coli are also included in the alignment but are not known to have GST activity.                                The glutathione molecule binds in a cleft between N and  C-terminal domains. The catalytically important residues are proposed  to reside in the N-terminal domain [1]. In plants, GSTs are encoded by  a large gene family (48 GST genes in Arabidopsis) and can be divided  into the phi, tau, theta, zeta, and lambda classes [2].	y
PF00056	Ldh_1_N	lactate/malate dehydrogenase, NAD binding domain	L-lactate dehydrogenases are metabolic enzymes which catalyse the conversion of L-lactate to pyruvate, the last step in anaerobic glycolysis. L-2-hydroxyisocaproate dehydrogenases are also members of the family.  Malate dehydrogenases catalyse the interconversion of malate to oxaloacetate. The enzyme participates in the citric acid cycle. L-lactate dehydrogenase is also found as a lens crystallin in bird and crocodile eyes. N-terminus (this family) is a Rossmann NAD-binding fold. C-terminus is an unusual alpha+beta fold.	y
PF00063	Myosin_head	Myosin head (motor domain)		m
PF00064	Neur	Neuraminidase	Neuraminidases cleave sialic acid residues from glycoproteins. Belong to the sialidase family - but this alignment does not generalise to the other sialidases. Structure is a 6-sheet beta propeller.	s
PF00067	p450	Cytochrome P450	Cytochrome P450s are haem-thiolate proteins [6] involved in the oxidative degradation of various compounds. They are particularly well known for their role in the degradation of environmental toxins and mutagens. They can be divided into 4 classes, according to the method by which electrons from NAD(P)H are delivered to the catalytic site. Sequence conservation is relatively low within the family - there are only 3 absolutely conserved residues - but their general topography and structural fold are highly conserved. The conserved core is composed of a coil termed the 'meander', a four-helix bundle, helices J and K, and two sets of beta-sheets. These constitute the haem-binding loop (with an absolutely conserved cysteine that serves as the 5th ligand for the haem iron), the proton-transfer groove and the absolutely conserved EXXR motif in helix K. While prokaryotic P450s are soluble proteins, most eukaryotic P450s are associated with microsomal membranes. their general enzymatic function is to catalyse regiospecific and stereospecific oxidation of non-activated hydrocarbons at physiological temperatures [6].	y
PF00068	Phospholip_A2_1	Phospholipase A2	Phospholipase A2 releases fatty acids from the second carbon group of glycerol. Perhaps the best known members are secreted snake venoms, but also found in secreted pancreatic and membrane-associated forms. Structure is all-alpha, with two core disulfide-linked helices and a calcium-binding loop. This alignment represents the major family of PLA2s. A second minor family, defined by the honeybee venom PLA2 PDB:1POC and related sequences from Gila monsters (Heloderma), is not recognised. This minor family conserves the core helix pair but is substantially different elsewhere. The PROSITE pattern PA2_HIS, specific to the first core helix, recognises both families.	y
